Data da coleta,Nome da ETA / UTA,Resultado,week,millis,date,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDCI_min,NDCI_max,NDCI_mean,NDCI_median,NDCI_stdDev
2021-04-14,MOINHOS DE VENTO,2228,2021-04-12/2021-04-18,1618407045199,2021-04-14 13:30:45,-0.6286764705882352,-0.0532687651331719,-0.573821309552783,-0.5837388535936124,0.0462114871253321,-0.1476190476190476,-0.041816009557945,-0.0844859231740322,-0.0857317163458732,0.0152637860282028
2021-04-12,MOINHOS DE VENTO,0,2021-04-12/2021-04-18,1618407045199,2021-04-14 13:30:45,-0.6286764705882352,-0.0532687651331719,-0.573821309552783,-0.5837388535936124,0.0462114871253321,-0.1476190476190476,-0.041816009557945,-0.0844859231740322,-0.0857317163458732,0.0152637860282028
2022-01-20,MOINHOS DE VENTO,10674,2022-01-17/2022-01-23,1642599051220,2022-01-19 13:30:51,-0.9940828402366862,-0.6195372750642673,-0.9908438435744006,-0.9931464035985044,0.0361675752428283,-0.1214642262895174,0.0638977635782747,-0.0022244599355349,-0.0017571513640432,0.024467498128154
2019-09-02,MOINHOS DE VENTO,0,2019-09-02/2019-09-08,1567431051357,2019-09-02 13:30:51,-0.5901060070671379,-0.1909547738693467,-0.5399166551277316,-0.5535731411915736,0.046286243500059,-0.1027332704995287,-0.0331288343558282,-0.0726043536874935,-0.0733343751627858,0.0109092762243912
2019-05-13,MOINHOS DE VENTO,12,2019-05-13/2019-05-19,1558186850000,2019-05-18 13:40:50,-0.6240601503759398,-0.0610263522884881,-0.5736446551729117,-0.5805917077274422,0.0430215723853792,-0.1098181818181818,0.1382913337430854,-0.04636610110151,-0.0464915566267589,0.0182570029715697
2019-07-29,MOINHOS DE VENTO,70,2019-07-29/2019-08-04,1564839055588,2019-08-03 13:30:55,-0.5107296137339057,-0.1931818181818181,-0.4759926919316693,-0.4777817256804322,0.0287451118233778,-0.0439146800501882,0.060931899641577,-0.0198409262864197,-0.019648372152876,0.0099442513761179
2019-09-23,MOINHOS DE VENTO,8,2019-09-23/2019-09-29,1569418847462,2019-09-25 13:40:47,-0.5517241379310345,-0.4696132596685082,-0.5243909353438206,-0.526094507982788,0.0139704854489165,-0.0776502363268062,-0.0138797091870456,-0.0469494071431572,-0.0461213046415074,0.0082132650741247
2019-09-23,MOINHOS DE VENTO,8,2019-09-23/2019-09-29,1569591051272,2019-09-27 13:30:51,-0.4408233276157804,0.148447789275635,-0.2813731628612683,-0.3801802760088108,0.1711355086951378,-0.049671977507029,0.0944055944055943,-0.0032637689465342,-0.0143271306322216,0.0276210140642005
2020-07-21,MOINHOS DE VENTO,129,2020-07-20/2020-07-26,1595770849006,2020-07-26 13:40:49,-0.7005649717514125,-0.1610810810810811,-0.6368788671815782,-0.6503787631520542,0.068461308424757,-0.144927536231884,0.0773195876288659,-0.0884374717149827,-0.0951738196410345,0.0273265301648943
2020-08-06,MOINHOS DE VENTO,364,2020-08-03/2020-08-09,1596634849822,2020-08-05 13:40:49,-0.5672215108834828,-0.030420086914534,-0.5107709660125906,-0.517346081055462,0.0453707641867934,-0.0733863837312113,0.0762094102054341,-0.0381368350276402,-0.0404771125682352,0.0171408700708999
2021-12-09,MOINHOS DE VENTO,8323,2021-12-06/2021-12-12,1639143049920,2021-12-10 13:30:49,-0.5620915032679739,-0.3532440782698249,-0.4485708714725819,-0.4488235409572845,0.0419503047288738,-0.0704800817160368,0.0174418604651163,-0.0289772434036802,-0.02905758699272,0.0121106511088653
2022-01-26,MOINHOS DE VENTO,6142,2022-01-24/2022-01-30,1643031045560,2022-01-24 13:30:45,-0.5067961165048543,-0.0528554070473875,-0.4213587582152313,-0.4206580474035901,0.0585269920345863,-0.1617440225035162,0.1989473684210526,0.042612656532221,0.04397738531901,0.0255260236379381
2022-01-26,MOINHOS DE VENTO,6142,2022-01-24/2022-01-30,1643463051239,2022-01-29 13:30:51,-0.1521268925739004,-0.0880452342487884,-0.1396399215609818,-0.1418205136527477,0.0102322445547046,-0.0335142036386849,0.0043010752688172,-0.0214308707355761,-0.0215863476359712,0.0038747606411601
2019-02-11,MOINHOS DE VENTO,335,2019-02-11/2019-02-17,1550151047000,2019-02-14 13:30:47,-0.7446102819237148,-0.5678233438485806,-0.6868693426619805,-0.6919100224976988,0.0329502884789127,-0.1422805247225025,-0.054054054054054,-0.1010624880552506,-0.1012992786743374,0.0116480829475232
2019-04-09,MOINHOS DE VENTO,26,2019-04-08/2019-04-14,1554903055000,2019-04-10 13:30:55,-0.7034795763993947,-0.5113808801213962,-0.6537619822033587,-0.6576363589481986,0.0331816481990153,-0.1630218687872763,-0.0871905274488697,-0.1169553125573384,-0.1174677001516882,0.0103420521135782
2021-07-14,MOINHOS DE VENTO,0,2021-07-12/2021-07-18,1626442849876,2021-07-16 13:40:49,-0.4749103942652329,-0.2697095435684647,-0.3943957327971135,-0.4158504007123775,0.0553062285109877,-0.0945454545454545,0.0215462610899873,-0.0293031220375908,-0.0296736709680993,0.0156849298189531
2021-07-14,MOINHOS DE VENTO,0,2021-07-12/2021-07-18,1626615053164,2021-07-18 13:30:53,-0.5276073619631902,-0.4050343249427917,-0.485090956182861,-0.4915842223414188,0.0282506693631705,-0.0856731461483081,-0.0049833887043189,-0.0549746190723373,-0.054912076932893,0.0136013488747071
2021-11-15,MOINHOS DE VENTO,1836,2021-11-15/2021-11-21,1637415051219,2021-11-20 13:30:51,-0.6037234042553191,-0.4658385093167702,-0.5617581038931707,-0.5639116035096893,0.0242459386147966,-0.0866425992779783,-0.0251968503937007,-0.0594492812057313,-0.0594721465657227,0.0086167396562882
2019-03-26,MOINHOS DE VENTO,186,2019-03-25/2019-03-31,1553607050000,2019-03-26 13:30:50,-0.648910411622276,-0.5049504950495048,-0.5941158680548291,-0.5922036940659234,0.0273088605920431,-0.1277683134582624,-0.0568612585291887,-0.0895817581760482,-0.0891117985058709,0.009824055057357
2019-09-30,MOINHOS DE VENTO,0,2019-09-30/2019-10-06,1569850847080,2019-09-30 13:40:47,-0.524607329842932,-0.4064785788923719,-0.4825492364766481,-0.4898505941538728,0.0260347710119645,-0.082670906200318,0.0157977883096367,-0.0334388399879668,-0.0358499883593161,0.0122728180571147
2019-11-04,MOINHOS DE VENTO,0,2019-11-04/2019-11-10,1573047051073,2019-11-06 13:30:51,-0.4011976047904191,-0.1071428571428571,-0.3396716579632599,-0.3430285333193357,0.0381088030128926,-0.0338461538461538,0.0396409872849663,0.0081010928310422,0.008569756649257,0.0088850687220347
2020-10-06,MOINHOS DE VENTO,216,2020-10-05/2020-10-11,1601991056970,2020-10-06 13:30:56,-0.4162962962962963,-0.0107250107250107,-0.3245743758825292,-0.3310798271300791,0.0549360310261057,-0.0639873083024854,0.0786430223592906,-0.0202349335586274,-0.0200810696607621,0.0160681024126421
2020-10-06,MOINHOS DE VENTO,216,2020-10-05/2020-10-11,1602423054815,2020-10-11 13:30:54,-0.5175644028103044,-0.3676286072772898,-0.4687305466362463,-0.46934833323951,0.0246521457657128,-0.0550534100246508,0.0042553191489361,-0.0226795434069889,-0.0223714723596414,0.0107798860064945
2021-03-10,MOINHOS DE VENTO,10387,2021-03-08/2021-03-14,1615383050394,2021-03-10 13:30:50,-0.5671641791044777,-0.3517786561264822,-0.50808282074057,-0.5120709407226465,0.0371668953213259,-0.0701402805611222,0.0235756385068762,-0.0279257437864575,-0.0284390939046046,0.0137818861997856
2021-03-10,MOINHOS DE VENTO,10387,2021-03-08/2021-03-14,1615642845931,2021-03-13 13:40:45,-0.5447870778267254,-0.0202550637659415,-0.4445817606236406,-0.4356144253481204,0.0582923050406458,-0.0610743193524649,0.17310443490701,0.0085779595569251,0.0101685045076249,0.0278027072230653
2022-03-03,MOINHOS DE VENTO,3077,2022-02-28/2022-03-06,1646314850256,2022-03-03 13:40:50,-0.1402013942680093,-0.051783659378596,-0.1270992559757387,-0.1281728447182248,0.0092011505842643,-0.0319602272727273,0.0125042244001352,-0.0202263731485753,-0.0206435140327532,0.0055270142457241
2022-03-03,MOINHOS DE VENTO,3077,2022-02-28/2022-03-06,1646487048426,2022-03-05 13:30:48,-0.1296969696969697,-0.0414937759336099,-0.1176310813695747,-0.1194210595109609,0.0101585393864149,-0.0162544169611307,0.0586774293697609,-0.0008206928787376,-0.0017942071982195,0.0073234005080098
2022-02-23,MOINHOS DE VENTO,4915,2022-02-21/2022-02-27,1645882842525,2022-02-26 13:40:42,-0.0892330383480825,0.0109204368174726,-0.0747740357180724,-0.0765065130398549,0.0095961785342287,-0.0534135125574814,0.0964210526315789,0.00195181430828,0.0014908478272486,0.0124278732784723
